date,year,month,x_pred,g_fever,g_vaccine,wiki_raw,wiki_views,g_fever_z,g_vaccine_z,wiki_views_z,y_who
2021-01,2021,1,514.9685668945312,9.0,28.0,3129.2189,8.04885821719102,-0.8575602520182996,-0.6647388421240303,0.1742962542124292,
2021-02,2021,2,2393.661865234375,10.0,27.0,2981.6049,8.000552325189265,-0.8136006947545462,-0.7249091683507745,0.12921550596995865,
2021-03,2021,3,4280.1728515625,12.0,25.0,3208.6276,8.073910196933037,-0.7256815802270395,-0.8452498208042627,0.19767563807070257,
2021-04,2021,4,4418.84814453125,14.0,27.0,2849.3583,7.955199984658933,-0.6377624656995328,-0.7249091683507745,0.08689111528112978,
2021-05,2021,5,4452.2294921875,13.0,42.0,2184.4783,7.689589985176061,-0.6817220229632862,0.17764572505038717,-0.1609854277487561,
2021-06,2021,6,2293.292724609375,13.0,35.0,2911.5361,7.9767794926469255,-0.6817220229632862,-0.2435465585368216,0.10702986702527952,
2021-07,2021,7,9610.099609375,20.0,58.0,4433.2881,8.39712236325716,-0.3740051221170127,1.140370944678293,0.49930853822358534,
2021-08,2021,8,17304.318359375,36.0,56.0,9340.807,9.142254981460933,0.3293477941030409,1.0200302922248048,1.1946923636020026,
2021-09,2021,9,36493.1328125,59.0,80.0,18977.9464,9.851085559558845,1.340417611169368,2.4641181216666634,1.8561978552433898,
2021-10,2021,10,56708.53515625,79.0,100.0,25545.1687,10.148242631354503,2.219608756444435,3.6675246462015454,2.1335152297285367,
2021-11,2021,11,42818.11328125,57.0,63.0,11923.5522,9.386354763688788,1.2524984966418613,1.4412225758120134,1.4224948194236642,
2021-12,2021,12,17491.419921875,24.0,32.0,4663.8559,8.44781222320092,-0.1981668930619993,-0.4240575372170539,0.5466140887449931,
2022-01,2022,1,8082.5498046875,23.0,42.0,2851.1882,7.9558417681368265,-0.24212645032575267,0.17764572505038717,0.08749005007343266,
2022-02,2022,2,4782.1845703125,15.0,40.0,2366.7911,7.769712774207062,-0.5938029084357794,0.05730507259689895,-0.08621203818667354,
2022-03,2022,3,4456.63134765625,13.0,35.0,2598.8767,7.863219299808141,-0.6817220229632862,-0.2435465585368216,0.0010515225296298771,
2022-04,2022,4,3517.65185546875,12.0,23.0,2548.3312,7.843586329242694,-0.7256815802270395,-0.9655904732577509,-0.017270652398443123,
2022-05,2022,5,5952.67919921875,14.0,26.0,1997.5654,7.6001849021593495,-0.6377624656995328,-0.7850794945775186,-0.24442137876953685,
2022-06,2022,6,5964.80615234375,19.0,32.0,3072.4912,8.030569393157672,-0.41796467938076604,-0.4240575372170539,0.15722848384875882,
2022-07,2022,7,13894.130859375,25.0,34.0,4101.412,8.319330372399023,-0.15420733579824597,-0.30371688476356573,0.4267103310519038,
2022-08,2022,8,20450.263671875,39.0,35.0,6089.7509,8.714526653595673,0.46122646589430094,-0.2435465585368216,0.7955213253368134,
2022-09,2022,9,38285.9375,59.0,51.0,12615.5129,9.442761782540654,1.340417611169368,0.7191786610910842,1.4751358226345532,
2022-10,2022,10,51670.234375,66.0,54.0,19115.2163,9.858292274762722,1.6481345120156417,0.8996896397713166,1.862923413975425,
2022-11,2022,11,43016.10546875,57.0,55.0,17743.3223,9.783820873311571,1.2524984966418613,0.9598599659980606,1.793424096998496,
2022-12,2022,12,17485.08984375,24.0,33.0,4299.3351,8.36644822887781,-0.1981668930619993,-0.36388721099030985,0.4706823629847343,
2023-01,2023,1,7183.890625,20.0,25.0,3051.7552,8.023799806093876,-0.3740051221170127,-0.8452498208042627,0.15091086838857135,
2023-02,2023,2,8000.30615234375,20.0,32.0,3130.4701,8.049257853780015,-0.3740051221170127,-0.4240575372170539,0.17466920905728112,
2023-03,2023,3,6506.3994140625,16.0,29.0,2798.3631,7.937147206003656,-0.5498433511720261,-0.6045685158972862,0.07004363072156461,
2023-04,2023,4,4881.8681640625,14.0,23.0,1858.0278,7.527808941886123,-0.6377624656995328,-0.9655904732577509,-0.3119651567369495,
2023-05,2023,5,4947.83349609375,13.0,29.0,3090.554,8.03642915609498,-0.6817220229632862,-0.6045685158972862,0.16269701960683539,
2023-06,2023,6,10804.94140625,27.0,29.0,3310.0027,8.10500635301052,-0.06628822127073926,-0.6045685158972862,0.22669565872132327,
2023-07,2023,7,21638.650390625,39.0,36.0,8340.5954,9.029009772022272,0.46122646589430094,-0.1833762323100775,1.0890079726340305,
2023-08,2023,8,35907.33984375,68.0,59.0,11603.5597,9.359153377445907,1.7360536265431483,1.2005412709050372,1.3971095342287034,
2023-09,2023,9,58868.19921875,97.0,81.0,19082.9673,9.85660385315727,3.0108807871919954,2.5242884478934076,1.861347719869213,
2023-10,2023,10,70814.9453125,100.0,75.0,13542.0717,9.513630381889309,3.1427594589832557,2.163266490532943,1.541272878656977,
2023-11,2023,11,43674.03515625,57.0,51.0,8275.5723,9.021184188238697,1.2524984966418613,0.7191786610910842,1.0817048640942921,
2023-12,2023,12,20068.890625,28.0,31.0,3525.8816,8.168169360066683,-0.022328664006985906,-0.48422786344379803,0.28564158646100396,
2024-01,2024,1,10005.1044921875,25.0,30.0,2407.4712,7.786747468348793,-0.15420733579824597,-0.5443981896705422,-0.0703146657095658,5079.0
2024-02,2024,2,5861.75146484375,16.0,31.0,2340.3037,7.758463189960825,-0.5498433511720261,-0.48422786344379803,-0.09671054373582409,5429.0
2024-03,2024,3,5190.60986328125,13.0,25.0,1849.6489,7.5232916133283565,-0.6817220229632862,-0.8452498208042627,-0.3161808857712835,5597.0
2024-04,2024,4,3880.777099609375,12.0,23.0,1364.129,7.219004208648203,-0.7256815802270395,-0.9655904732577509,-0.6001525363360293,3342.0
2024-05,2024,5,5601.70654296875,14.0,35.0,1592.341,7.373588348521297,-0.6377624656995328,-0.2435465585368216,-0.45588920937697824,5145.0
2024-06,2024,6,10278.203125,26.0,36.0,1555.0182,7.349885401328029,-0.11024777853449261,-0.1833762323100775,-0.4780096288691897,7499.0
2024-07,2024,7,27366.119140625,50.0,62.0,2828.7245,7.94793463607516,0.9447815957955878,1.3810522495852693,0.08011083782787436,27675.0
2024-08,2024,8,34700.859375,65.0,67.0,2100.1749,7.6502519434535365,1.6041749547518882,1.6819038807189899,-0.19769706439921916,32388.0
2024-09,2024,9,41415.2421875,63.0,54.0,2551.7948,7.844944037982955,1.5162558402243815,0.8996896397713166,-0.01600359110695278,41375.0
2024-10,2024,10,46104.4296875,54.0,47.0,2677.8742,7.893151910621974,1.1206198248506012,0.4784973561841077,0.028985682037319414,51183.0
2024-11,2024,11,29918.625,32.0,47.0,2133.5331,7.666003213222313,0.15350956504802749,0.4784973561841077,-0.18299742844343078,30354.0
2024-12,2024,12,14216.736328125,17.0,31.0,1169.4372,7.065132633206282,-0.5058837939082728,-0.48422786344379803,-0.7437508732411316,17359.0
2025-01,2025,1,3662.205078125,13.0,25.0,1067.1823,6.973713697837662,-0.6817220229632862,-0.8452498208042627,-0.8290662217248673,4700.0
2025-02,2025,2,3952.91943359375,11.0,24.0,742.0104,6.610710041928008,-0.7696411374907929,-0.9054201470310068,-1.1678339319363866,3806.0
2025-03,2025,3,3968.3828125,10.0,26.0,655.7098,6.487242216185929,-0.8136006947545462,-0.7850794945775186,-1.283058426044096,3517.0
2025-04,2025,4,2208.900634765625,9.0,30.0,602.5579,6.402841976283575,-0.8575602520182996,-0.5443981896705422,-1.361823682392201,2700.0
2025-05,2025,5,3323.846923828125,9.0,30.0,792.1904,6.676063293697967,-0.8575602520182996,-0.5443981896705422,-1.1068439912111168,3766.0
2025-06,2025,6,3746.960693359375,13.0,22.0,791.9278,6.67573217083159,-0.6817220229632862,-1.025760799484495,-1.10715300665329,6459.0
2025-07,2025,7,10514.1044921875,18.0,37.0,852.0587,6.748828361067699,-0.4619242366445194,-0.12320590608333339,-1.0389370848895838,10302.0
2025-08,2025,8,11945.62109375,23.0,36.0,1100.9271,7.0048158350745995,-0.24212645032575267,-0.1833762323100775,-0.8000406192470125,14303.0
2025-09,2025,9,18777.751953125,22.0,36.0,908.633,6.813041221461612,-0.28608600758950603,-0.1833762323100775,-0.9790113972893689,18803.0
2025-10,2025,10,27722.31640625,20.0,29.0,771.3006,6.649373852475085,-0.3740051221170127,-0.6045685158972862,-1.1317515114046628,22659.0
2025-11,2025,11,22327.83984375,17.0,36.0,668.6939,6.506820742318451,-0.5058837939082728,-0.1833762323100775,-1.264787060565392,22175.0
2025-12,2025,12,10645.01171875,10.0,30.0,488.4914,6.193366892868323,-0.8136006947545462,-0.5443981896705422,-1.5573131580480977,7539.0
2026-01,2026,1,1357.1640625,8.0,27.0,291.1217,5.677170496261198,-0.9015198092820529,-0.7249091683507745,-2.0390456928343466,3544.0
2026-02,2026,2,2480.516357421875,8.0,29.0,279.3269,5.635956422171117,-0.9015198092820529,-0.6045685158972862,-2.077508108517178,3019.0
2026-03,2026,3,2762.410888671875,7.0,22.0,358.422,5.8844971856090105,-0.9454793665458062,-1.025760799484495,-1.8455611736768482,
